Product Name,Total number of comments (backer only),Number of Negative Comment,Number of Neutral Comment,Number of Positive Comment,% of Negative Comment,% of Neutral Comment,% of Positive Comment,Overall Score,Number of creator comment
voices-for-biodiversity,0,0,0,0,0,0,0,0,0
naked-0,17,0,0,17,0,0,1,0.826029412,0
the-oscilloscope-clock-iv-analog-version-for-large,2,0,1,1,0,0.5,0.5,0.3781,2
knasa-chef-knife-inspired-by-nasa-patented-technol,35,10,5,20,0.29,0.14,0.57,0.178231429,15
dusty-brush-the-new-way-to-clean-0,50,9,13,28,0.18,0.26,0.56,0.19989,0
quadbot-real-robotics-made-accessible,50,9,11,30,0.18,0.22,0.6,0.278386,0
rule-massively-multiplayer-real-time-strategy-game,0,0,0,0,0,0,0,0,0
hacker-garage-40-un-mejor-hackerspace-para-creador,8,0,6,2,0,0.75,0.25,0.16345,0
how-to-be-a-magician,50,17,3,30,0.34,0.06,0.6,0.209902,0
perfect-cookware-for-everyone-handcrafted-in-the-u,50,7,9,34,0.14,0.18,0.68,0.43539,0
the-contractors-website-and-concept-art,3,0,0,3,0,0,1,0.617933333,0
sparkr-and-sparkr-mini,50,16,3,31,0.32,0.06,0.62,0.243092,0
omnos-512-soundbar-affordable-3d-sound-for-home-th,50,11,16,23,0.22,0.32,0.46,0.09145,0
the-spontaneous-pop-up-display-spud,50,2,11,37,0.04,0.22,0.74,0.526312,0
anew-you-style-journal-life-changing-results-in-12,0,0,0,0,0,0,0,0,0
brondell-swash-intelligent-electronic-bidet-toilet,49,8,5,36,0.16,0.1,0.73,0.47462449,0
jeans-with-a-side-panel-for-the-perfect-fit,15,3,6,6,0.2,0.4,0.4,0.18328,0
rmour-silver-case-for-your-iphone-7-and-7-plus,50,8,16,26,0.16,0.32,0.52,0.273926,0
coolbag-gen2-anti-theft-recreational-travel-bag-wi,23,3,2,18,0.13,0.09,0.78,0.482969565,12
ko8-pro-the-evolution-of-functional-fitness,30,1,2,27,0.03,0.07,0.9,0.631276667,8
gir-ladle-and-spoonula,50,4,4,42,0.08,0.08,0.84,0.561146,0
odyssey-the-next-generation-science-game,48,5,7,36,0.1,0.15,0.75,0.535047917,0
nimble-sense-bring-your-hands-into-virtual-reality,50,11,15,24,0.22,0.3,0.48,0.207466,0
riftmax-theater,17,1,2,14,0.06,0.12,0.82,0.679405882,0
font-awesome-5,50,12,15,23,0.24,0.3,0.46,0.085206,0
pokito,49,17,12,20,0.35,0.24,0.41,0.074667347,1
dialect-a-game-about-language-and-how-it-dies,50,6,12,32,0.12,0.24,0.64,0.400964,0
monsterhearts-2,46,3,9,34,0.07,0.2,0.74,0.45675,4
qi-aerista-the-ultimate-wi-fi-enabled-smart-tea-ma,50,10,6,34,0.2,0.12,0.68,0.368422,0
k-board-pro-4-smart-fabric-keyboard,50,3,10,37,0.06,0.2,0.74,0.49294,0
hudify-a-transparent-gps-that-keeps-your-eyes-on-t,50,14,15,21,0.28,0.3,0.42,0.146498,0
vinci-first-smart-3d-headphones-that-understand-yo,50,14,8,28,0.28,0.16,0.56,0.221148,0
bixi-control-any-smart-device-by-simply-waving-you,50,10,9,31,0.2,0.18,0.62,0.20771,0
2nd-generation-magbak-protect-your-phone-mount-it,50,17,10,23,0.34,0.2,0.46,0.113074,0
flowmotion-smartphone-stabilizer-the-end-of-shaky,50,11,7,32,0.22,0.14,0.64,0.272456,0
sevenhugs-smart-remote-the-first-remote-for-everyt,50,6,13,31,0.12,0.26,0.62,0.300742,0
the-wolfe-supercharge-your-laptop,50,9,14,27,0.18,0.28,0.54,0.23211,0
dashbot-a-49-robot-for-your-dashboard,50,15,7,28,0.3,0.14,0.56,0.195326,0
your-everyday-light-for-any-lifestyle,50,16,12,22,0.32,0.24,0.44,0.064998,0
foldscope-the-origami-paper-microscope,50,9,8,33,0.18,0.16,0.66,0.346046,0
ad-free-indie-mobile-quiz-games,0,0,0,0,0,0,0,0,0
geareye-the-ultimate-gear-management-system,50,9,13,28,0.18,0.26,0.56,0.222658,0
vimble-s-never-capture-a-shaky-video-again,50,18,10,22,0.36,0.2,0.44,0.09386,0
snapnator-your-macbook-snap-feature-is-back,50,19,10,21,0.38,0.2,0.42,0.112696,0
ae-modular-a-modular-synthesizer-for-everyone,50,5,6,39,0.1,0.12,0.78,0.491494,0
airblock-the-modular-and-programmable-starter-dron,50,9,12,29,0.18,0.24,0.58,0.293512,0
vue-your-everyday-smart-glasses,50,16,6,28,0.32,0.12,0.56,0.247792,0
krossblade-skyprowler-multi-mission-vtol-transform,50,7,7,36,0.14,0.14,0.72,0.380154,0
world-of-myrr-adventure-modules-and-handbook-for-5,12,2,3,7,0.17,0.25,0.58,0.392758333,0
limitless-encounters-vol-1,50,12,8,30,0.24,0.16,0.6,0.244056,0
freedrum-the-drumkit-that-fits-in-your-pocket,50,4,7,39,0.08,0.14,0.78,0.408304,0
square-off-worlds-smartest-chess-board-relaunched,50,9,11,30,0.18,0.22,0.6,0.227498,0
quackup-quackup-attack-video-game-for-windows-and,4,0,3,1,0,0.75,0.25,0.189075,0
the-harlan-ellison-books-preservation-project,50,3,5,42,0.06,0.1,0.84,0.57384,0
visions-of-a-thousand-eyes-the-ultimate-fantasy-ar,50,12,15,23,0.24,0.3,0.46,0.108466,0
txture-new-workshop-to-revive-prehispanic-woven-fu,8,0,1,7,0,0.12,0.88,0.790575,0
kingdom-death-monster-15,50,14,10,26,0.28,0.2,0.52,0.134242,0
betterback-therapy-improve-posture-back-pain,50,6,11,33,0.12,0.22,0.66,0.457768,0
helios-touch-modular-lighting-system,50,18,9,23,0.36,0.18,0.46,0.097008,0
adventure-mat-a-clean-surface-wherever-you-go,50,3,9,38,0.06,0.18,0.76,0.546116,0
fin-a-vibrator-for-fingers,50,20,4,26,0.4,0.08,0.52,0.118974,0
ab-blaster-the-most-complete-core-fitness-workout,23,4,6,13,0.17,0.26,0.57,0.277265217,7
watson-the-backpack-for-uncompromising-professiona,50,4,7,39,0.08,0.14,0.78,0.522558,0
vinco-wallet-the-profoundly-thin-veg-tan-card-slee,20,4,4,12,0.2,0.2,0.6,0.33097,0
el-dorado-maya-playing-cards-relaunch,35,4,8,23,0.11,0.23,0.66,0.313891429,0
armed-forces-playing-cards,13,3,1,9,0.23,0.08,0.69,0.365907692,0
divine-art-playing-cards-limited-edition,15,2,0,13,0.13,0,0.87,0.59702,5
chronos-14-high-speed-camera,50,9,4,37,0.18,0.08,0.74,0.408572,0
evercube-lifetime-toothbrush-holder-and-multipurpo,42,5,7,30,0.12,0.17,0.71,0.337528571,0
yokai-quest,50,11,11,28,0.22,0.22,0.56,0.218788,0
parkis-space-saving-bicycle-lift,22,4,6,12,0.18,0.27,0.55,0.298840909,0
inflatable-waterproof-anti-shock-capsula-backpack,50,14,7,29,0.28,0.14,0.58,0.199458,0
stealth-get-ripped-abs-by-playing-games-on-your-sm,50,8,9,33,0.16,0.18,0.66,0.275888,0
bear-soles-the-warmest-choice-this-winter,50,3,1,46,0.06,0.02,0.92,0.6341,0
grippz-mats-the-worlds-first-acupressure-yoga-mat,50,25,4,21,0.5,0.08,0.42,-0.046418,0
fotric-123-cloud-based-thermal-camera-for-early-fi,48,2,5,41,0.04,0.1,0.85,0.585702083,0
wirebutter-smart-powerboard,49,13,6,30,0.27,0.12,0.61,0.181391837,1
bluetooth-smart-pen-20-exceptional-quality-and-val,50,11,3,36,0.22,0.06,0.72,0.348192,0
repour-smart-stopper,50,5,15,30,0.1,0.3,0.6,0.38153,0
swankytm-the-floating-ladle,50,4,22,24,0.08,0.44,0.48,0.247372,0
dash-access-bifold-wallet,50,15,6,29,0.3,0.12,0.58,0.15829,0
audio-game-hub-keep-your-ears-wide-open,35,2,5,28,0.06,0.14,0.8,0.522142857,0
lee-knife-the-best-kitchen-knife-on-earth,44,9,12,23,0.2,0.27,0.52,0.167445455,0
swindon-fringe-festival-2017,0,0,0,0,0,0,0,0,0
idockall-2-true-one-hand-undocking-with-a-twist,29,5,5,19,0.17,0.17,0.66,0.29777931,0
colaboracion-no1-aluxes,11,1,0,10,0.09,0,0.91,0.7072,0
the-station-a-first-person-exploration-story-drive,50,3,11,36,0.06,0.22,0.72,0.41891,0
king-lear,1,0,0,1,0,0,1,0.6688,0
krysala-birth,6,0,3,3,0,0.5,0.5,0.3801,0
xlp-dice-v20,44,3,8,33,0.07,0.18,0.75,0.501970455,0
lil-bunny-sue-roux-on-two-the-adopted-two-legged-b,50,8,10,32,0.16,0.2,0.64,0.388238,0
pod-portable-power-on-demand,21,2,7,12,0.1,0.33,0.57,0.401,0
the-journeyman-series-handcrafted-mechanical-watch,13,2,1,10,0.15,0.08,0.77,0.449153846,0
objects-of-celebration,4,0,0,4,0,0,1,0.82135,0
studio-ceramica-we-need-wheels,6,0,1,5,0,0.17,0.83,0.509616667,0
morpheus-delta-fine-quality-resin-3d-printer-at-fd,50,8,23,19,0.16,0.46,0.38,0.111134,0
political-fables-for-unsweet-dreams,19,2,5,12,0.11,0.26,0.63,0.280415789,0
five-minutes-for-art-a-coloring-book-from-peter-si,10,0,2,8,0,0.2,0.8,0.61205,0
man-vs-meeple,50,12,16,22,0.24,0.32,0.44,0.14478,0
5-minute-dungeon-the-most-fun-you-can-have-in-5-mi,50,4,11,35,0.08,0.22,0.7,0.446678,0
chocamo-cookie-cups-sip-bite-feed-your-soul,7,0,1,6,0,0.14,0.86,0.587171429,0
